,lifetime_gross
2092,8844595
2093,9043472
2094,12348905
2095,79666653
2096,106885658
2097,15164492
2098,38328567
2099,3753929
2100,54751
2101,402668
2102,13898649
2103,24657
2104,24657
2105,24657
2106,24657
2107,17762705
2108,11578059
2109,91411151
2110,91411151
2111,8038508
2112,3335984
2113,27250736
2114,2735
2115,6955
2116,52888180
2117,2062405
2118,41575141
2119,41575141
2120,4553271
2121,4688
2122,13263993
2123,65748
2124,4750660
2125,171479930
2126,38178166
2127,1897948
2128,1897948
2129,1897948
2130,28544120
2131,1726567
2132,26682
2133,48482
2134,16943454
2135,55474756
2136,8359717
2137,10920544
2138,6033999
2139,317422
2140,1940299
2141,63886029
2142,63886029
2143,63886029
2144,63886029
2145,1263279
2146,4417
2147,26999
2148,638645
2149,638645
2150,638645
2151,638645
2152,638645
2153,370720
2154,8408835
2155,14902041
2156,14902041
2157,2856712
2158,5869
2159,87704396
2160,4152230
2161,1152979
2162,784399
2163,77886
2164,2838
2165,784399
2166,77886
2167,2838
2168,1113103
2169,2021698
2170,3957934
2171,3957934
2172,14418922
2173,4122748
2174,103738726
2175,155385488
2176,155385488
2177,155385488
2178,155385488
2179,877621
2180,877621
2181,877621
2182,1083975
2183,16071990
2184,16071990
2185,16071990
2186,16071990
2187,9017070
2188,801985
2189,801985
2190,12504289
2191,871759
2192,137124
2193,474544677
